NPL_STATUS,NPL_STATUS_DATE,LATITUDE,LONGITUDE,FEDERAL_STATUS,LAST_UPDATED
Proposed for NPL,5/10/93,41.75833,-81.25833,G (General or Non-federal),2/27/14
Proposed for NPL,5/10/93,40.53982,-81.49444,G (General or Non-federal),2/27/14
Proposed for NPL,5/10/93,36.74666,-95.995,G (General or Non-federal),2/27/14
Proposed for NPL,5/10/93,31.71027,-90.39305,G (General or Non-federal),2/27/14
Proposed for NPL,10/14/92,42.49138,-92.32638,G (General or Non-federal),2/27/14
Proposed for NPL,2/7/92,40.67833,-111.4583,G (General or Non-federal),2/27/14
Proposed for NPL,2/7/92,38.55194,-106.02694,G (General or Non-federal),2/27/14
Proposed for NPL,7/29/91,32.91027,-115.54444,G (General or Non-federal),2/27/14
Currently on the Final NPL,12/12/13,41.67658,-86.297513,G (General or Non-federal),2/27/14
Currently on the Final NPL,12/12/13,43.371945,-71.058613,G (General or Non-federal),2/27/14
Currently on the Final NPL,12/12/13,36.2972,-78.606,G (General or Non-federal),2/27/14
Currently on the Final NPL,12/12/13,39.186039,-85.930447,G (General or Non-federal),2/27/14
Currently on the Final NPL,12/12/13,35.1979,-81.1899,G (General or Non-federal),2/27/14
Currently on the Final NPL,12/12/13,35.133612,-107.330557,G (General or Non-federal),2/27/14
Currently on the Final NPL,12/12/13,39.834821,-86.121713,G (General or Non-federal),2/27/14
Currently on the Final NPL,12/12/13,48.388889,-124.49,G (General or Non-federal),2/27/14
Currently on the Final NPL,12/12/13,35.840558,-96.380002,G (General or Non-federal),2/27/14
Currently on the Final NPL,5/24/13,40.753938,-111.848022,F (Federal),2/27/14
Currently on the Final NPL,5/24/13,35.931945,-84.539169,G (General or Non-federal),2/27/14
Currently on the Final NPL,5/24/13,42.553056,-70.926667,G (General or Non-federal),2/27/14
Currently on the Final NPL,5/24/13,37.92,-95.4,G (General or Non-federal),2/27/14
Currently on the Final NPL,5/24/13,32.777502,-83.639447,G (General or Non-federal),2/27/14
Currently on the Final NPL,5/24/13,39.765,-75.30222,G (General or Non-federal),2/27/14
Currently on the Final NPL,5/24/13,39.427222,-86.428333,G (General or Non-federal),2/27/14
Currently on the Final NPL,5/24/13,40.767815,-74.158501,G (General or Non-federal),2/27/14
Currently on the Final NPL,5/24/13,41.957501,-71.296946,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/18/12,33.39972,-86.405,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/18/12,42.355556,-90.399722,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/18/12,34.5206,-90.6517,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/18/12,32.744777,-97.679763,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/18/12,30.248056,-92.6175,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/18/12,30.35349,-81.686354,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/18/12,36.158333,-80.675833,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/18/12,44.237223,-70.081391,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/18/12,40.769825,-74.243479,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/18/12,39.35069,-84.24222,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/18/12,29.71774,-95.221053,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/18/12,40.0422,-84.2083,G (General or Non-federal),2/27/14
Currently on the Final NPL,5/10/12,47.57732,-122.6421,G (General or Non-federal),2/27/14
Currently on the Final NPL,5/10/12,33.950278,-118.176946,G (General or Non-federal),2/27/14
Currently on the Final NPL,5/10/12,33.946112,-118.176669,G (General or Non-federal),2/27/14
Currently on the Final NPL,3/15/12,30.42888,-89.08916,G (General or Non-federal),2/27/14
Currently on the Final NPL,3/15/12,37.11,-93.08,G (General or Non-federal),2/27/14
Currently on the Final NPL,3/15/12,25.831842,-80.210178,G (General or Non-federal),2/27/14
Currently on the Final NPL,3/15/12,18.295723,-66.286204,G (General or Non-federal),2/27/14
Currently on the Final NPL,3/15/12,35.493056,-82.505835,G (General or Non-federal),2/27/14
Currently on the Final NPL,3/15/12,43.181113,-78.689445,G (General or Non-federal),2/27/14
Currently on the Final NPL,3/15/12,39.492993,-75.235657,G (General or Non-federal),2/27/14
Currently on the Final NPL,3/15/12,39.270267,-76.45271,G (General or Non-federal),2/27/14
Currently on the Final NPL,3/15/12,32.618056,-90.018057,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/16/11,35.783892,-89.11778,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/16/11,32.77462,-83.6517,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/16/11,41.965278,-123.101667,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/16/11,36.69833,-105.505,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/16/11,27.86072,-97.1793,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/16/11,40.871857,-74.106431,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/16/11,41.365062,-87.253521,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/16/11,34.268058,-77.953889,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/16/11,33.509723,-88.409447,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/16/11,40.75735,-73.56298,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/16/11,36.412778,-120.674444,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/16/11,42.2603,-121.7422,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/16/11,34.186944,-89.563611,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/16/11,38.613061,-89.108251,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/16/11,34.883058,-82.426113,G (General or Non-federal),2/27/14
Currently on the Final NPL,3/10/11,47.523611,-111.256945,G (General or Non-federal),2/27/14
Currently on the Final NPL,3/10/11,18.090557,-67.148058,G (General or Non-federal),2/27/14
Currently on the Final NPL,3/10/11,42.560957,-73.560496,G (General or Non-federal),2/27/14
Currently on the Final NPL,3/10/11,39.612007,-75.844474,G (General or Non-federal),2/27/14
Currently on the Final NPL,3/10/11,18.220588,-66.100972,G (General or Non-federal),2/27/14
Currently on the Final NPL,3/10/11,40.928889,-74.699446,G (General or Non-federal),2/27/14
Currently on the Final NPL,3/10/11,39.177667,-84.293778,G (General or Non-federal),2/27/14
Currently on the Final NPL,3/10/11,37.839818,-90.797756,G (General or Non-federal),2/27/14
Currently on the Final NPL,3/10/11,31.964129,-102.094921,G (General or Non-federal),2/27/14
Currently on the Final NPL,3/10/11,34.3284,-78.2051,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/29/10,43.984269,-75.677527,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/29/10,28.717,-81.3217,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/29/10,40.715192,-73.930762,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/29/10,28.811174,-81.26571,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/29/10,35.919167,-83.926668,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/29/10,42.486746,-82.898903,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/29/10,38.18834,-91.94627,G (General or Non-federal),2/27/14
Currently on the Final NPL,3/4/10,43.579445,-123.066668,G (General or Non-federal),2/27/14
Currently on the Final NPL,3/4/10,38.835,-90.095,G (General or Non-federal),2/27/14
Currently on the Final NPL,3/4/10,40.67893,-73.99422,G (General or Non-federal),2/27/14
Currently on the Final NPL,3/4/10,43.41641,-84.62346,G (General or Non-federal),2/27/14
Currently on the Final NPL,3/4/10,27.6788,-82.4782,G (General or Non-federal),2/27/14
Currently on the Final NPL,3/4/10,30.3442,-81.6265,G (General or Non-federal),2/27/14
Currently on the Final NPL,3/4/10,34.256,-78.0033,G (General or Non-federal),2/27/14
Currently on the Final NPL,3/4/10,41.673936,-87.566689,G (General or Non-federal),2/27/14
Currently on the Final NPL,3/4/10,55.626389,-132.558614,G (General or Non-federal),2/27/14
Currently on the Final NPL,3/4/10,32.73424,-96.27408,G (General or Non-federal),2/27/14
Currently on the Final NPL,11/4/09,36.86,-76.3097,G (General or Non-federal),2/27/14
Currently on the Final NPL,11/4/09,40.464589,-74.258017,G (General or Non-federal),2/27/14
Currently on the Final NPL,11/4/09,40.914725,-112.719725,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/23/09,43.289444,-87.981944,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/23/09,40.560128,-75.08,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/23/09,47.24027,-114.85277,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/23/09,36.2505,-78.56305,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/23/09,41.71638,-85.92083,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/23/09,40.593035,-83.183698,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/23/09,36.405667,-81.323889,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/23/09,18.265002,-66.694724,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/23/09,34.154247,-117.414217,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/23/09,40.25194,-75.38222,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/23/09,38.186668,-90.75889,G (General or Non-federal),2/27/14
Proposed for NPL,12/12/13,43.73495334,-70.42451396,G (General or Non-federal),2/27/14
Proposed for NPL,12/12/13,33.30836,-92.65688028,G (General or Non-federal),2/27/14
Proposed for NPL,12/12/13,40.85959444,-97.58061389,G (General or Non-federal),2/27/14
Proposed for NPL,12/12/13,40.88863611,-97.60036111,G (General or Non-federal),2/27/14
Proposed for NPL,12/12/13,40.7163,-74.1452,G (General or Non-federal),2/27/14
Proposed for NPL,12/12/13,40.878792,-74.269155,G (General or Non-federal),2/27/14
Proposed for NPL,12/12/13,35.04158889,-89.65346944,G (General or Non-federal),2/27/14
Proposed for NPL,12/12/13,40.69267222,-73.90199722,G (General or Non-federal),2/27/14
Currently on the Final NPL,4/9/09,28.057778,-82.3175,G (General or Non-federal),2/27/14
Currently on the Final NPL,4/9/09,33.8711,-82.2972,G (General or Non-federal),2/27/14
Currently on the Final NPL,4/9/09,39.782669,-84.18226,G (General or Non-federal),2/27/14
Currently on the Final NPL,4/9/09,40.153335,-75.228611,G (General or Non-federal),2/27/14
Currently on the Final NPL,4/9/09,39.434169,-77.446668,F (Federal),2/27/14
Currently on the Final NPL,4/9/09,39.923333,-84.033612,G (General or Non-federal),2/27/14
Currently on the Final NPL,4/9/09,34.745,-101.853333,G (General or Non-federal),2/27/14
Currently on the Final NPL,4/9/09,27.914931,-82.410918,G (General or Non-federal),2/27/14
Currently on the Final NPL,4/9/09,41.616758,-87.464046,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/3/08,35.1224,-79.4025,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/3/08,40.038102,-84.196238,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/3/08,26.2825,-80.096708,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/3/08,34.503333,-112.236667,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/3/08,37.870833,-106.94,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/3/08,33.1383,-96.0755,G (General or Non-federal),2/27/14
Currently on the Final NPL,3/19/08,40.4,-75.13,G (General or Non-federal),2/27/14
Currently on the Final NPL,3/19/08,26.112223,-98.08639,G (General or Non-federal),2/27/14
Currently on the Final NPL,3/19/08,39.05358,-77.4255,G (General or Non-federal),2/27/14
Currently on the Final NPL,3/19/08,41.672861,-85.996356,G (General or Non-federal),2/27/14
Currently on the Final NPL,3/19/08,31.906114,-102.233612,G (General or Non-federal),2/27/14
Currently on the Final NPL,3/19/08,38.346542,-98.84946,G (General or Non-federal),2/27/14
Currently on the Final NPL,3/19/08,18.082617,-67.033904,G (General or Non-federal),2/27/14
Currently on the Final NPL,3/19/08,29.7944,-95.0625,G (General or Non-federal),2/27/14
Currently on the Final NPL,3/19/08,39.835525,-74.964969,G (General or Non-federal),2/27/14
Currently on the Final NPL,3/19/08,38.075278,-90.738333,G (General or Non-federal),2/27/14
Currently on the Final NPL,3/19/08,37.936,-90.788,G (General or Non-federal),2/27/14
Currently on the Final NPL,3/19/08,38.16615,-90.814264,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/19/07,34.099722,-106.906389,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/19/07,39.166111,-89.473611,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/19/07,40.874519,-111.885839,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/19/07,42.8517,-123.3847,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/19/07,34.140722,-119.177778,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/19/07,44.957778,-93.2425,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/19/07,40.75,-74.09722,G (General or Non-federal),2/27/14
Currently on the Final NPL,3/7/07,29.494433,-98.6205,G (General or Non-federal),2/27/14
Currently on the Final NPL,3/7/07,31.908611,-102.385833,G (General or Non-federal),2/27/14
Currently on the Final NPL,3/7/07,39.476586,-87.414319,G (General or Non-federal),2/27/14
Currently on the Final NPL,3/7/07,47.5858,-122.3635,G (General or Non-federal),2/27/14
Currently on the Final NPL,3/7/07,32.302,-90.143,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/27/06,39.130667,-89.494989,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/27/06,39.8547,-75.1683,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/27/06,18.005722,-65.905417,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/27/06,18.43555,-66.6,G (General or Non-federal),2/27/14
Currently on the Final NPL,4/19/06,33.455606,-82.042408,G (General or Non-federal),2/27/14
Currently on the Final NPL,4/19/06,35.6259,-120.8967,G (General or Non-federal),2/27/14
Currently on the Final NPL,4/19/06,42.528056,-71.153889,G (General or Non-federal),2/27/14
Currently on the Final NPL,4/19/06,40.89583,-98.365,G (General or Non-federal),2/27/14
Currently on the Final NPL,4/19/06,47.53134,-122.19881,G (General or Non-federal),2/27/14
Currently on the Final NPL,4/19/06,40.570422,-98.408411,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/14/05,35.46237,-82.52835,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/14/05,44.47919,-71.16719,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/14/05,40.56361,-98.41555,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/14/05,41.13916,-78.80194,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/14/05,33.42117,-82.01513,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/14/05,32.92847,-97.525,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/14/05,38.87916,-107.07389,G (General or Non-federal),2/27/14
Currently on the Final NPL,4/27/05,34.65219,-80.41147,G (General or Non-federal),2/27/14
Currently on the Final NPL,4/27/05,44.45258,-73.12138,G (General or Non-federal),2/27/14
Currently on the Final NPL,4/27/05,41.09283,-81.61747,G (General or Non-federal),2/27/14
Currently on the Final NPL,4/27/05,40.55202,-75.07891,G (General or Non-federal),2/27/14
Currently on the Final NPL,4/27/05,40.07632,-87.65009,G (General or Non-federal),2/27/14
Currently on the Final NPL,4/27/05,41.6116,-73.78148,G (General or Non-federal),2/27/14
Currently on the Final NPL,4/27/05,40.5495,-75.98022,G (General or Non-federal),2/27/14
Currently on the Final NPL,4/27/05,41.01527,-76.37638,G (General or Non-federal),2/27/14
Currently on the Final NPL,4/27/05,35.71361,-80.97458,G (General or Non-federal),2/27/14
Currently on the Final NPL,4/27/05,35.04444,-89.68583,G (General or Non-federal),2/27/14
Currently on the Final NPL,2/11/05,18.13058,-65.3106,F (Federal),2/27/14
Currently on the Final NPL,9/23/04,38.95166,-81.76166,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/23/04,40.13544,-74.06313,G (General or Non-federal),2/27/14
Currently on the Final NPL,7/22/04,37.35555,-90.675,G (General or Non-federal),2/27/14
Currently on the Final NPL,7/22/04,18.17527,-66.16194,G (General or Non-federal),2/27/14
Currently on the Final NPL,7/22/04,43.22294,-78.02927,G (General or Non-federal),2/27/14
Currently on the Final NPL,7/22/04,35.15577,-107.84388,G (General or Non-federal),2/27/14
Currently on the Final NPL,7/22/04,37.97929,-87.56398,G (General or Non-federal),2/27/14
Currently on the Final NPL,7/22/04,40.6428,-73.70641,G (General or Non-federal),2/27/14
Currently on the Final NPL,7/22/04,30.52444,-89.68972,G (General or Non-federal),2/27/14
Currently on the Final NPL,7/22/04,44.05733,-72.30691,G (General or Non-federal),2/27/14
Currently on the Final NPL,7/22/04,40.35395,-76.17536,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/29/03,37.8025,-122.29375,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/29/03,40.05583,-105.50361,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/29/03,30.31874,-95.43542,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/29/03,45.60638,-122.69138,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/29/03,29.90465,-95.58431,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/29/03,39.726944,-84.083889,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/29/03,37.54611,-90.27611,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/29/03,41.34215,-89.08306,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/29/03,36.9921,-94.3848,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/29/03,35.22805,-80.6068,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/29/03,40.72952,-74.44786,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/29/03,42.80258,-72.18694,G (General or Non-federal),2/27/14
Currently on the Final NPL,4/30/03,40.57361,-111.79194,G (General or Non-federal),2/27/14
Currently on the Final NPL,4/30/03,28.96684,-95.28965,G (General or Non-federal),2/27/14
Currently on the Final NPL,4/30/03,41.26777,-95.92972,G (General or Non-federal),2/27/14
Currently on the Final NPL,4/30/03,18.42913,-66.458,G (General or Non-federal),2/27/14
Currently on the Final NPL,4/30/03,30.68583,-85.16805,G (General or Non-federal),2/27/14
Currently on the Final NPL,4/30/03,35.90194,-78.77361,G (General or Non-federal),2/27/14
Currently on the Final NPL,4/30/03,40.56156,-74.40291,G (General or Non-federal),2/27/14
Currently on the Final NPL,10/24/02,48.39152,-115.55111,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/5/02,46.59597,-90.88333,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/5/02,40.48611,-74.31944,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/5/02,27.81537,-97.5086,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/5/02,44.35163,-68.81013,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/5/02,42.88055,-76.6425,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/5/02,44.02294,-75.65186,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/5/02,39.2,-76.57269,F (Federal),2/27/14
Currently on the Final NPL,9/5/02,33.84663,-118.28947,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/5/02,40.74722,-74.13219,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/5/02,41.72402,-74.4055,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/5/02,39.95555,-112.11555,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/5/02,39.98319,-75.08388,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/5/02,42.03819,-71.2225,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/5/02,33.37979,-104.51872,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/5/02,38.22097,-91.14946,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/5/02,29.73194,-95.11458,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/5/02,40.8043,-73.98916,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/5/02,41.57833,-93.70222,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/5/02,34.34347,-77.89194,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/13/01,33.11111,-89.05833,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/13/01,35.44583,-83.06388,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/13/01,47.08333,-110.63027,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/13/01,40.88722,-111.90388,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/13/01,46.96138,-110.72583,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/13/01,34.86312,-120.5443,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/13/01,43.92744,-72.2855,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/13/01,47.5378,-122.32789,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/13/01,40.78888,-73.20527,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/13/01,40.96777,-76.01555,G (General or Non-federal),2/27/14
Currently on the Final NPL,9/13/01,40.46013,-75.33186,G (General or Non-federal),2/27/14
Currently on the Final NPL,6/14/01,41.49802,-74.00563,G (General or Non-federal),2/27/14
Currently on the Final NPL,6/14/01,33.94697,-118.17969,G (General or Non-federal),2/27/14
Currently on the Final NPL,6/14/01,43.82388,-72.32888,G (General or Non-federal),2/27/14
Currently on the Final NPL,6/14/01,32.31555,-106.76,G (General or Non-federal),2/27/14
Currently on the Final NPL,6/14/01,39.88555,-75.26777,G (General or Non-federal),2/27/14
Currently on the Final NPL,6/14/01,29.33305,-94.90277,G (General or Non-federal),2/27/14
Currently on the Final NPL,6/14/01,42.44166,-71.42194,G (General or Non-federal),2/27/14
Currently on the Final NPL,6/14/01,41.52611,-73.79222,G (General or Non-federal),2/27/14
Currently on the Final NPL,6/14/01,42.59822,-71.18319,G (General or Non-federal),2/27/14
Currently on the Final NPL,6/14/01,45.09722,-123.42694,G (General or Non-federal),2/27/14
Currently on the Final NPL,12/1/00,27.96408,-82.37513,G (General or Non-federal),2/27/14
Currently on the Final NPL,12/1/00,33.99188,-117.36718,G (General or Non-federal),2/27/14
Currently on the Final NPL,12/1/00,44.32805,-103.6743,G (General or Non-federal),2/27/14
Currently on the Final NPL,12/1/00,38.71555,-87.68222,G (General or Non-federal),2/27/14
Currently on the Final NPL,12/1/00,45.80361,-108.455,G (General or Non-federal),2/27/14
Currently on the Final NPL,12/1/00,37.28472,-76.6075,F (Federal),2/27/14
Currently on the Final NPL,12/1/00,45.61527,-122.79305,G (General or Non-federal),2/27/14
Currently on the Final NPL,12/1/00,38.61388,-91.21472,G (General or Non-federal),2/27/14
Currently on the Final NPL,7/27/00,39.49722,-80.12305,G (General or Non-federal),2/27/14
Currently on the Final NPL,7/27/00,31.34519,-89.40446,G (General or Non-federal),2/27/14
Currently on the Final NPL,7/27/00,46.62347,-122.93305,G (General or Non-federal),2/27/14
Currently on the Final NPL,7/27/00,37.04472,-94.47305,G (General or Non-federal),2/27/14
Currently on the Final NPL,7/27/00,41.55038,-73.01063,G (General or Non-federal),2/27/14
Currently on the Final NPL,7/27/00,28.04055,-82.51027,G (General or Non-federal),2/27/14
Currently on the Final NPL,7/27/00,36.79416,-76.31222,F (Federal),2/27/14
Currently on the Final NPL,7/27/00,29.975,-93.917,G (General or Non-federal),2/27/14
Currently on the Final NPL,5/11/00,40.87944,-111.88944,G (General or Non-federal),2/27/14
Currently on the Final NPL,5/11/00,28.03944,-81.97916,G (General or Non-federal),2/27/14
Currently on the Final NPL,5/11/00,38.70388,-119.65611,G (General or Non-federal),2/27/14
Currently on the Final NPL,5/11/00,47.9375,-118.09416,G (General or Non-federal),2/27/14
Currently on the Final NPL,5/11/00,40.73361,-73.61847,G (General or Non-federal),2/27/14
Currently on the Final NPL,5/11/00,33.75945,-93.10425,G (General or Non-federal),2/27/14
Currently on the Final NPL,2/4/00,41.85766,-71.48725,G (General or Non-federal),2/27/14
Currently on the Final NPL,2/4/00,40.7388,-73.65269,G (General or Non-federal),2/27/14
Currently on the Final NPL,2/4/00,40.45416,-112.35833,G (General or Non-federal),2/27/14
Currently on the Final NPL,2/4/00,40.92813,-73.06919,G (General or Non-federal),2/27/14
Currently on the Final NPL,2/4/00,32.83805,-79.95119,G (General or Non-federal),2/27/14
Currently on the Final NPL,2/4/00,32.90833,-92.25294,G (General or Non-federal),2/27/14
Currently on the Final NPL,2/4/00,39.99583,-75.90833,G (General or Non-federal),2/27/14
Currently on the Final NPL,2/4/00,18.40916,-66.23194,G (General or Non-federal),2/27/14
